0,과일바구니,food,satiation,20,신선한 과일이다. 허기를 어느정도 채워줄 것 같다.
1,빵,food,satiation,15,언제 구웠는지 모를 빵이다. 하지만 허기를 꽤 채워줄 것 같다.
2,나무판자,object,,,부러진 나무 판자다. 잘 활용한다면 좋은 결과물을 만들어 낼 수 있을 것 같다.
3,물,medicine,health,5,미지근한 물이다. 마시면 힘이 날 것 같다.
4,붕대,medicine,health,20,조금 더러운 붕대다. 그래도 상처를 치료하기에는 무리가 없을 듯 하다.
5,날고기,food,satiation,-10,날고기다. 그냥 먹어서는 맛도 없으며 몸에도 안 좋을 것 같다.
6,통조림,food,satiation,20,통조림이다. 먹으면 충분히 배부를 것 같다.
7,고철부품,object,,,이제는 못 쓰는 고철부품이다. 하지만 잘 사용한다면 새로운 물건을 만들어낼 수 있을 것 같다.
8,구급상자,medicine,health,30,구급상자다. 상처를 빠르게 회복할 수 있을 것 같다.
9,두통약,medicine,health,10,머리가 아플 때 먹으면 조금 진정될 것 같다.
10,고기,food,satiation,30,잘 익은 고기다. 포만감을 잔뜩 채워줄 것 같다.
11,밴드,medicine,health,10,세균으로부터 상처를 막기 위해 쓰일 것 같다.
12,삽 ,tool,,,땅을 파는 등의 일에 사용하면 좋을 듯 하다
13,열쇠,tool,,,잠긴 문을 열 수 있을 것 같다. 하지만 내구도가 좋지 않아 한 번 밖에 사용하지 못 할 거 같다.
14,돌맹이,object,,,적당한 크기의 돌맹이다. 잘 활용한다면 괜찮은 물건을 만들 수 있을 거 같다.
15,과자,food,satiation,10,짭조름한 과자다. 먹으면 적당히 배부를 거 같다.
16,백신,medicine,health,50,바이러스의 백신이다. 
17,채소바구니,food,satiation,20,몸에 좋은 채소다. 요리를 한다면 괜찮은 음식이 탄생할 거 같다.
18,사과,food,satiation,5,사과다. 맛있다
19,바나나,food,satiation,50,바나나다. 개발자 중 한 명이 이 과일을 매우 좋아한다.
20,당근,food,satiation,5,당근이다. 맛있다.
21,양배추,food,satiation,10,양배추우우우다.
22,양파,food,satiation,5,양파다. 
23,파프리카,food,satiation,-50,개발자 중 한 명이 싫어한다. 매우.
,,,,,
코드,이름,종류,효과1,효과2,설명
